product_id,product_type,apr,risk_level,annual_fee,min_income_required,description
58,credit_card,0.1848656497692901,4,0,20000,"Credit card product with around 18.5% APR and annual fee 0 USD, designed for everyday spending."
59,credit_card,0.2370731330312477,4,50,80000,"Credit card product with around 23.7% APR and annual fee 50 USD, designed for everyday spending."
60,installment_loan,0.1423273275032373,3,50,80000,"Installment loan with approximately 14.2% APR and annual fee 50 USD, suitable for medium to large purchases."
61,credit_card,0.1907679541750063,4,50,60000,"Credit card product with around 19.1% APR and annual fee 50 USD, designed for everyday spending."
62,savings_account,0.0167299050962122,1,0,80000,"Savings account offering about 1.67% interest rate, ideal for low-risk savings and emergency funds."
63,installment_loan,0.1397499051081294,3,0,60000,"Installment loan with approximately 14.0% APR and annual fee 0 USD, suitable for medium to large purchases."
64,savings_account,0.0234378449189008,1,25,20000,"Savings account offering about 2.34% interest rate, ideal for low-risk savings and emergency funds."
65,credit_card,0.193653206912887,4,100,60000,"Credit card product with around 19.4% APR and annual fee 100 USD, designed for everyday spending."
66,savings_account,0.0210365389268673,1,25,80000,"Savings account offering about 2.10% interest rate, ideal for low-risk savings and emergency funds."
67,installment_loan,0.1511379039487215,3,0,40000,"Installment loan with approximately 15.1% APR and annual fee 0 USD, suitable for medium to large purchases."
68,credit_card,0.1936323706966198,4,50,40000,"Credit card product with around 19.4% APR and annual fee 50 USD, designed for everyday spending."
69,installment_loan,0.1484122192538225,3,50,40000,"Installment loan with approximately 14.8% APR and annual fee 50 USD, suitable for medium to large purchases."
70,savings_account,0.0158563239958966,1,25,60000,"Savings account offering about 1.59% interest rate, ideal for low-risk savings and emergency funds."
71,savings_account,0.0236035919638779,1,0,20000,"Savings account offering about 2.36% interest rate, ideal for low-risk savings and emergency funds."
72,insurance,0.0121086527459065,2,0,40000,Insurance policy product providing financial protection against unexpected events.
73,savings_account,0.0339999418592136,1,0,80000,"Savings account offering about 3.40% interest rate, ideal for low-risk savings and emergency funds."
74,savings_account,0.0082933006930758,1,0,60000,"Savings account offering about 0.83% interest rate, ideal for low-risk savings and emergency funds."
75,insurance,0.0,2,0,60000,Insurance policy product providing financial protection against unexpected events.
76,credit_card,0.2092708781003724,4,0,20000,"Credit card product with around 20.9% APR and annual fee 0 USD, designed for everyday spending."
77,savings_account,0.0328557534343437,1,0,80000,"Savings account offering about 3.29% interest rate, ideal for low-risk savings and emergency funds."
78,savings_account,0.0129000692960576,1,0,40000,"Savings account offering about 1.29% interest rate, ideal for low-risk savings and emergency funds."
79,credit_card,0.2110607437490719,4,0,80000,"Credit card product with around 21.1% APR and annual fee 0 USD, designed for everyday spending."
80,installment_loan,0.1420275767582761,3,0,80000,"Installment loan with approximately 14.2% APR and annual fee 0 USD, suitable for medium to large purchases."
81,savings_account,0.0172287898998039,1,25,20000,"Savings account offering about 1.72% interest rate, ideal for low-risk savings and emergency funds."
82,credit_card,0.1913998538647767,4,100,20000,"Credit card product with around 19.1% APR and annual fee 100 USD, designed for everyday spending."
83,installment_loan,0.1523926677012831,3,25,60000,"Installment loan with approximately 15.2% APR and annual fee 25 USD, suitable for medium to large purchases."
84,installment_loan,0.1551022248746381,3,0,80000,"Installment loan with approximately 15.5% APR and annual fee 0 USD, suitable for medium to large purchases."
85,installment_loan,0.1401174588447816,3,25,20000,"Installment loan with approximately 14.0% APR and annual fee 25 USD, suitable for medium to large purchases."
86,savings_account,0.0293226395993382,1,25,80000,"Savings account offering about 2.93% interest rate, ideal for low-risk savings and emergency funds."
87,savings_account,0.0254006529233591,1,50,40000,"Savings account offering about 2.54% interest rate, ideal for low-risk savings and emergency funds."
88,credit_card,0.2127551070989291,4,25,80000,"Credit card product with around 21.3% APR and annual fee 25 USD, designed for everyday spending."
89,insurance,0.0,2,0,20000,Insurance policy product providing financial protection against unexpected events.
90,installment_loan,0.1440783423986723,3,25,80000,"Installment loan with approximately 14.4% APR and annual fee 25 USD, suitable for medium to large purchases."
91,installment_loan,0.1590376464053823,3,0,20000,"Installment loan with approximately 15.9% APR and annual fee 0 USD, suitable for medium to large purchases."
92,savings_account,0.0,1,0,40000,"Savings account offering about -0.07% interest rate, ideal for low-risk savings and emergency funds."
93,credit_card,0.1797964690897823,4,25,40000,"Credit card product with around 18.0% APR and annual fee 25 USD, designed for everyday spending."
94,insurance,0.0011394383652666,2,25,60000,Insurance policy product providing financial protection against unexpected events.
95,installment_loan,0.1484558375086859,3,0,80000,"Installment loan with approximately 14.8% APR and annual fee 0 USD, suitable for medium to large purchases."
96,installment_loan,0.1454257507539669,3,0,20000,"Installment loan with approximately 14.5% APR and annual fee 0 USD, suitable for medium to large purchases."
97,credit_card,0.1966145034778046,4,0,80000,"Credit card product with around 19.7% APR and annual fee 0 USD, designed for everyday spending."
98,insurance,0.0,2,0,40000,Insurance policy product providing financial protection against unexpected events.
99,savings_account,0.0187932129725526,1,25,40000,"Savings account offering about 1.88% interest rate, ideal for low-risk savings and emergency funds."
100,credit_card,0.2100154935627622,4,0,40000,"Credit card product with around 21.0% APR and annual fee 0 USD, designed for everyday spending."
101,savings_account,0.0335242656019234,1,50,80000,"Savings account offering about 3.35% interest rate, ideal for low-risk savings and emergency funds."
102,installment_loan,0.15063769311187,3,25,20000,"Installment loan with approximately 15.1% APR and annual fee 25 USD, suitable for medium to large purchases."
103,credit_card,0.1921718029867533,4,0,60000,"Credit card product with around 19.2% APR and annual fee 0 USD, designed for everyday spending."
104,credit_card,0.1939635037422792,4,0,80000,"Credit card product with around 19.4% APR and annual fee 0 USD, designed for everyday spending."
105,savings_account,0.0047251043686332,1,0,20000,"Savings account offering about 0.47% interest rate, ideal for low-risk savings and emergency funds."
106,savings_account,0.0276101288306907,1,25,60000,"Savings account offering about 2.76% interest rate, ideal for low-risk savings and emergency funds."
107,savings_account,0.0201996131311987,1,50,20000,"Savings account offering about 2.02% interest rate, ideal for low-risk savings and emergency funds."
108,insurance,0.0009311178185697,2,25,80000,Insurance policy product providing financial protection against unexpected events.
109,credit_card,0.1854160724515617,4,25,80000,"Credit card product with around 18.5% APR and annual fee 25 USD, designed for everyday spending."
110,credit_card,0.201625955643924,4,0,60000,"Credit card product with around 20.2% APR and annual fee 0 USD, designed for everyday spending."
111,savings_account,0.0281969098551206,1,0,60000,"Savings account offering about 2.82% interest rate, ideal for low-risk savings and emergency funds."
112,savings_account,0.0104007287418984,1,25,80000,"Savings account offering about 1.04% interest rate, ideal for low-risk savings and emergency funds."
113,insurance,0.0010011359727961,2,25,60000,Insurance policy product providing financial protection against unexpected events.
114,installment_loan,0.1523780835164303,3,0,80000,"Installment loan with approximately 15.2% APR and annual fee 0 USD, suitable for medium to large purchases."
115,installment_loan,0.1505612357777099,3,25,80000,"Installment loan with approximately 15.1% APR and annual fee 25 USD, suitable for medium to large purchases."
116,installment_loan,0.142272022096893,3,0,20000,"Installment loan with approximately 14.2% APR and annual fee 0 USD, suitable for medium to large purchases."
117,credit_card,0.192658649093029,4,25,40000,"Credit card product with around 19.3% APR and annual fee 25 USD, designed for everyday spending."
118,credit_card,0.2142068118428836,4,25,80000,"Credit card product with around 21.4% APR and annual fee 25 USD, designed for everyday spending."
119,installment_loan,0.1572721498652693,3,0,80000,"Installment loan with approximately 15.7% APR and annual fee 0 USD, suitable for medium to large purchases."
120,savings_account,0.020191656647501,1,0,20000,"Savings account offering about 2.02% interest rate, ideal for low-risk savings and emergency funds."
121,installment_loan,0.1583171205254877,3,25,80000,"Installment loan with approximately 15.8% APR and annual fee 25 USD, suitable for medium to large purchases."
122,installment_loan,0.1488704530650242,3,0,20000,"Installment loan with approximately 14.9% APR and annual fee 0 USD, suitable for medium to large purchases."
123,installment_loan,0.1598958014990104,3,25,20000,"Installment loan with approximately 16.0% APR and annual fee 25 USD, suitable for medium to large purchases."
124,savings_account,0.017042819974003,1,25,20000,"Savings account offering about 1.70% interest rate, ideal for low-risk savings and emergency funds."
125,savings_account,0.0200190552493677,1,25,80000,"Savings account offering about 2.00% interest rate, ideal for low-risk savings and emergency funds."
126,insurance,0.0146920969508341,2,25,40000,Insurance policy product providing financial protection against unexpected events.
127,savings_account,0.0078710845871296,1,50,60000,"Savings account offering about 0.79% interest rate, ideal for low-risk savings and emergency funds."
128,insurance,0.0279957495838299,2,100,40000,Insurance policy product providing financial protection against unexpected events.
129,savings_account,0.0228882453875672,1,25,40000,"Savings account offering about 2.29% interest rate, ideal for low-risk savings and emergency funds."
130,installment_loan,0.157821866888515,3,0,40000,"Installment loan with approximately 15.8% APR and annual fee 0 USD, suitable for medium to large purchases."
131,savings_account,0.0239553372495504,1,0,80000,"Savings account offering about 2.40% interest rate, ideal for low-risk savings and emergency funds."
132,savings_account,0.0201992936194289,1,0,80000,"Savings account offering about 2.02% interest rate, ideal for low-risk savings and emergency funds."
133,credit_card,0.2070458257195327,4,0,20000,"Credit card product with around 20.7% APR and annual fee 0 USD, designed for everyday spending."
134,credit_card,0.2050174869042869,4,25,20000,"Credit card product with around 20.5% APR and annual fee 25 USD, designed for everyday spending."
135,savings_account,0.0175710545219089,1,0,60000,"Savings account offering about 1.76% interest rate, ideal for low-risk savings and emergency funds."
136,installment_loan,0.1652920692400274,3,25,60000,"Installment loan with approximately 16.5% APR and annual fee 25 USD, suitable for medium to large purchases."
137,installment_loan,0.1509077469936013,3,25,20000,"Installment loan with approximately 15.1% APR and annual fee 25 USD, suitable for medium to large purchases."
138,savings_account,0.0117395789796543,1,0,60000,"Savings account offering about 1.17% interest rate, ideal for low-risk savings and emergency funds."
139,savings_account,0.0074819256204144,1,50,60000,"Savings account offering about 0.75% interest rate, ideal for low-risk savings and emergency funds."
140,credit_card,0.1954433735102138,4,25,60000,"Credit card product with around 19.5% APR and annual fee 25 USD, designed for everyday spending."
141,credit_card,0.2028402748649258,4,100,80000,"Credit card product with around 20.3% APR and annual fee 100 USD, designed for everyday spending."
142,credit_card,0.2183317904284244,4,0,40000,"Credit card product with around 21.8% APR and annual fee 0 USD, designed for everyday spending."
143,savings_account,0.0169061779990303,1,50,80000,"Savings account offering about 1.69% interest rate, ideal for low-risk savings and emergency funds."
144,installment_loan,0.1629658500230029,3,0,20000,"Installment loan with approximately 16.3% APR and annual fee 0 USD, suitable for medium to large purchases."
145,credit_card,0.1826765867236775,4,25,60000,"Credit card product with around 18.3% APR and annual fee 25 USD, designed for everyday spending."
146,credit_card,0.1902646736386458,4,0,40000,"Credit card product with around 19.0% APR and annual fee 0 USD, designed for everyday spending."
147,credit_card,0.1907696802152707,4,25,20000,"Credit card product with around 19.1% APR and annual fee 25 USD, designed for everyday spending."
148,credit_card,0.219903988429047,4,50,20000,"Credit card product with around 22.0% APR and annual fee 50 USD, designed for everyday spending."
149,insurance,0.0,2,25,40000,Insurance policy product providing financial protection against unexpected events.
150,installment_loan,0.1556554984901968,3,0,60000,"Installment loan with approximately 15.6% APR and annual fee 0 USD, suitable for medium to large purchases."
151,savings_account,0.0450287085240994,1,0,80000,"Savings account offering about 4.50% interest rate, ideal for low-risk savings and emergency funds."
152,insurance,0.0046979394434669,2,25,40000,Insurance policy product providing financial protection against unexpected events.
153,installment_loan,0.1568405452427143,3,25,20000,"Installment loan with approximately 15.7% APR and annual fee 25 USD, suitable for medium to large purchases."
154,installment_loan,0.1431925399971604,3,0,80000,"Installment loan with approximately 14.3% APR and annual fee 0 USD, suitable for medium to large purchases."
155,installment_loan,0.1580667670663365,3,0,20000,"Installment loan with approximately 15.8% APR and annual fee 0 USD, suitable for medium to large purchases."
156,savings_account,0.0269836225154684,1,50,60000,"Savings account offering about 2.70% interest rate, ideal for low-risk savings and emergency funds."
157,installment_loan,0.1392119752581741,3,25,80000,"Installment loan with approximately 13.9% APR and annual fee 25 USD, suitable for medium to large purchases."
158,installment_loan,0.1398391626778695,3,25,80000,"Installment loan with approximately 14.0% APR and annual fee 25 USD, suitable for medium to large purchases."
159,installment_loan,0.144128408902519,3,0,80000,"Installment loan with approximately 14.4% APR and annual fee 0 USD, suitable for medium to large purchases."
160,credit_card,0.1871649811901821,4,100,60000,"Credit card product with around 18.7% APR and annual fee 100 USD, designed for everyday spending."
161,credit_card,0.2013735026843765,4,0,20000,"Credit card product with around 20.1% APR and annual fee 0 USD, designed for everyday spending."
162,savings_account,0.0205831332625142,1,0,40000,"Savings account offering about 2.06% interest rate, ideal for low-risk savings and emergency funds."
163,installment_loan,0.1474894815279517,3,0,60000,"Installment loan with approximately 14.7% APR and annual fee 0 USD, suitable for medium to large purchases."
164,installment_loan,0.1424296990972669,3,0,20000,"Installment loan with approximately 14.2% APR and annual fee 0 USD, suitable for medium to large purchases."
165,insurance,0.0088919678702924,2,25,40000,Insurance policy product providing financial protection against unexpected events.
166,installment_loan,0.1641593244445074,3,100,20000,"Installment loan with approximately 16.4% APR and annual fee 100 USD, suitable for medium to large purchases."
167,installment_loan,0.163768458606722,3,0,40000,"Installment loan with approximately 16.4% APR and annual fee 0 USD, suitable for medium to large purchases."
168,insurance,0.0,2,0,40000,Insurance policy product providing financial protection against unexpected events.
169,savings_account,0.0064753067224626,1,0,20000,"Savings account offering about 0.65% interest rate, ideal for low-risk savings and emergency funds."
170,credit_card,0.2093683048266515,4,0,60000,"Credit card product with around 20.9% APR and annual fee 0 USD, designed for everyday spending."
171,savings_account,0.017309410298176,1,25,20000,"Savings account offering about 1.73% interest rate, ideal for low-risk savings and emergency funds."
172,credit_card,0.1911611444630172,4,0,40000,"Credit card product with around 19.1% APR and annual fee 0 USD, designed for everyday spending."
173,installment_loan,0.155455788486918,3,0,80000,"Installment loan with approximately 15.5% APR and annual fee 0 USD, suitable for medium to large purchases."
174,insurance,0.0,2,0,40000,Insurance policy product providing financial protection against unexpected events.
175,savings_account,0.0178651525307624,1,50,60000,"Savings account offering about 1.79% interest rate, ideal for low-risk savings and emergency funds."
176,installment_loan,0.1266965305655895,3,25,60000,"Installment loan with approximately 12.7% APR and annual fee 25 USD, suitable for medium to large purchases."
177,installment_loan,0.1535530511981938,3,0,20000,"Installment loan with approximately 15.4% APR and annual fee 0 USD, suitable for medium to large purchases."
178,savings_account,0.0121565682280353,1,0,20000,"Savings account offering about 1.22% interest rate, ideal for low-risk savings and emergency funds."
179,installment_loan,0.1450961124503378,3,25,60000,"Installment loan with approximately 14.5% APR and annual fee 25 USD, suitable for medium to large purchases."
180,savings_account,0.0236998760867151,1,25,80000,"Savings account offering about 2.37% interest rate, ideal for low-risk savings and emergency funds."
181,installment_loan,0.1283350397013777,3,0,20000,"Installment loan with approximately 12.8% APR and annual fee 0 USD, suitable for medium to large purchases."
182,credit_card,0.1847883399907918,4,0,40000,"Credit card product with around 18.5% APR and annual fee 0 USD, designed for everyday spending."
183,savings_account,0.0146064835248445,1,0,80000,"Savings account offering about 1.46% interest rate, ideal for low-risk savings and emergency funds."
184,insurance,0.0,2,25,80000,Insurance policy product providing financial protection against unexpected events.
185,savings_account,0.0333916864616836,1,0,60000,"Savings account offering about 3.34% interest rate, ideal for low-risk savings and emergency funds."
186,installment_loan,0.1498753804458301,3,0,40000,"Installment loan with approximately 15.0% APR and annual fee 0 USD, suitable for medium to large purchases."
187,savings_account,0.0158574449409966,1,50,20000,"Savings account offering about 1.59% interest rate, ideal for low-risk savings and emergency funds."
188,savings_account,0.0048772904942932,1,0,40000,"Savings account offering about 0.49% interest rate, ideal for low-risk savings and emergency funds."
189,insurance,0.0118320083485765,2,25,40000,Insurance policy product providing financial protection against unexpected events.
190,installment_loan,0.1404645840017668,3,0,20000,"Installment loan with approximately 14.0% APR and annual fee 0 USD, suitable for medium to large purchases."
191,savings_account,0.0324962488478109,1,0,20000,"Savings account offering about 3.25% interest rate, ideal for low-risk savings and emergency funds."
192,insurance,0.0056441681886294,2,50,20000,Insurance policy product providing financial protection against unexpected events.
193,installment_loan,0.1616528686611225,3,25,20000,"Installment loan with approximately 16.2% APR and annual fee 25 USD, suitable for medium to large purchases."
194,credit_card,0.1852789116626415,4,25,80000,"Credit card product with around 18.5% APR and annual fee 25 USD, designed for everyday spending."
195,savings_account,0.0350178396709009,1,25,20000,"Savings account offering about 3.50% interest rate, ideal for low-risk savings and emergency funds."
196,installment_loan,0.1318388361426077,3,0,80000,"Installment loan with approximately 13.2% APR and annual fee 0 USD, suitable for medium to large purchases."
197,savings_account,0.0159048899756295,1,0,20000,"Savings account offering about 1.59% interest rate, ideal for low-risk savings and emergency funds."
198,savings_account,0.021698056277367,1,0,80000,"Savings account offering about 2.17% interest rate, ideal for low-risk savings and emergency funds."
199,credit_card,0.2010338131722175,4,0,20000,"Credit card product with around 20.1% APR and annual fee 0 USD, designed for everyday spending."
200,installment_loan,0.1445624774072446,3,0,80000,"Installment loan with approximately 14.5% APR and annual fee 0 USD, suitable for medium to large purchases."
201,savings_account,0.0302047692018396,1,25,40000,"Savings account offering about 3.02% interest rate, ideal for low-risk savings and emergency funds."
202,insurance,0.0161398713741466,2,25,20000,Insurance policy product providing financial protection against unexpected events.
203,savings_account,0.0268883025138607,1,0,60000,"Savings account offering about 2.69% interest rate, ideal for low-risk savings and emergency funds."
204,savings_account,0.0101839295014149,1,25,40000,"Savings account offering about 1.02% interest rate, ideal for low-risk savings and emergency funds."
205,savings_account,0.0220812038506656,1,0,20000,"Savings account offering about 2.21% interest rate, ideal for low-risk savings and emergency funds."
206,savings_account,0.0265743680858844,1,0,40000,"Savings account offering about 2.66% interest rate, ideal for low-risk savings and emergency funds."
207,savings_account,0.0224395604512171,1,25,40000,"Savings account offering about 2.24% interest rate, ideal for low-risk savings and emergency funds."
208,credit_card,0.1830368646790769,4,0,80000,"Credit card product with around 18.3% APR and annual fee 0 USD, designed for everyday spending."
209,credit_card,0.1921163605361078,4,25,60000,"Credit card product with around 19.2% APR and annual fee 25 USD, designed for everyday spending."
210,installment_loan,0.1565990896229518,3,25,40000,"Installment loan with approximately 15.7% APR and annual fee 25 USD, suitable for medium to large purchases."
211,savings_account,0.0218138026242542,1,0,60000,"Savings account offering about 2.18% interest rate, ideal for low-risk savings and emergency funds."
212,credit_card,0.2015640627703592,4,0,60000,"Credit card product with around 20.2% APR and annual fee 0 USD, designed for everyday spending."
213,installment_loan,0.1445527776432576,3,0,40000,"Installment loan with approximately 14.5% APR and annual fee 0 USD, suitable for medium to large purchases."
214,credit_card,0.188856898241209,4,0,80000,"Credit card product with around 18.9% APR and annual fee 0 USD, designed for everyday spending."
215,credit_card,0.1929458924290821,4,25,60000,"Credit card product with around 19.3% APR and annual fee 25 USD, designed for everyday spending."
216,installment_loan,0.1502175127273212,3,0,80000,"Installment loan with approximately 15.0% APR and annual fee 0 USD, suitable for medium to large purchases."
217,insurance,0.0,2,0,60000,Insurance policy product providing financial protection against unexpected events.
218,savings_account,0.0004015715526133,1,25,60000,"Savings account offering about 0.04% interest rate, ideal for low-risk savings and emergency funds."
219,insurance,0.0,2,25,80000,Insurance policy product providing financial protection against unexpected events.
220,installment_loan,0.1407063407839178,3,100,40000,"Installment loan with approximately 14.1% APR and annual fee 100 USD, suitable for medium to large purchases."
221,credit_card,0.1959204951999504,4,25,80000,"Credit card product with around 19.6% APR and annual fee 25 USD, designed for everyday spending."
222,credit_card,0.212242184183087,4,50,60000,"Credit card product with around 21.2% APR and annual fee 50 USD, designed for everyday spending."
223,savings_account,0.0252540510672855,1,0,40000,"Savings account offering about 2.53% interest rate, ideal for low-risk savings and emergency funds."
224,installment_loan,0.1542245926880782,3,0,20000,"Installment loan with approximately 15.4% APR and annual fee 0 USD, suitable for medium to large purchases."
225,credit_card,0.2017327038457276,4,0,20000,"Credit card product with around 20.2% APR and annual fee 0 USD, designed for everyday spending."
226,savings_account,0.0129600761036002,1,0,80000,"Savings account offering about 1.30% interest rate, ideal for low-risk savings and emergency funds."
227,credit_card,0.1920505893439072,4,0,40000,"Credit card product with around 19.2% APR and annual fee 0 USD, designed for everyday spending."
228,credit_card,0.207685582449191,4,25,20000,"Credit card product with around 20.8% APR and annual fee 25 USD, designed for everyday spending."
229,insurance,0.0110183442060334,2,25,80000,Insurance policy product providing financial protection against unexpected events.
230,credit_card,0.1949628072893423,4,25,20000,"Credit card product with around 19.5% APR and annual fee 25 USD, designed for everyday spending."
231,installment_loan,0.1507519043680419,3,0,80000,"Installment loan with approximately 15.1% APR and annual fee 0 USD, suitable for medium to large purchases."
232,credit_card,0.2090685534443673,4,0,20000,"Credit card product with around 20.9% APR and annual fee 0 USD, designed for everyday spending."
233,credit_card,0.2101862891043803,4,0,40000,"Credit card product with around 21.0% APR and annual fee 0 USD, designed for everyday spending."
234,savings_account,0.0,1,0,80000,"Savings account offering about -0.43% interest rate, ideal for low-risk savings and emergency funds."
235,savings_account,0.041886043447984,1,50,40000,"Savings account offering about 4.19% interest rate, ideal for low-risk savings and emergency funds."
236,credit_card,0.2052880432275793,4,0,20000,"Credit card product with around 20.5% APR and annual fee 0 USD, designed for everyday spending."
237,installment_loan,0.1376358256830802,3,0,60000,"Installment loan with approximately 13.8% APR and annual fee 0 USD, suitable for medium to large purchases."
